date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:08:08	98470/98470	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2009:08:07%20GMT	https://www.train-motion.com/	D:/rgiov/website/TrainSimItalia/www.train-motion.com/index.html	(from )
11:08:09	71/71	---M-Z	200	added ('OK')	text/plain	date:Fri,%2017%20Jul%202020%2009:08:07%20GMT	https://www.train-motion.com/robots.txt		(from )
11:08:09	30784/30784	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Sep%202019%2000:18:25%20GMT	https://www.train-motion.com/wp-content/plugins/woocommerce-load-more-products/berocket/assets/css/font-awesome.min.css?ver=5.3.4	D:/rgiov/website/TrainSimItalia/www.train-motion.com/wp-content/plugins/woocommerce-load-more-products/berocket/assets/css/font-awesome.min03ec.css	(from https://www.train-motion.com/)
11:08:10	12560/12560	---M-Z	200	added ('OK')	application/rss+xml	etag:%226182af639e8ac9425706def8290e0b54%22	https://www.train-motion.com/feed/	D:/rgiov/website/TrainSimItalia/www.train-motion.com/feed/index.html	(from https://www.train-motion.com/)
11:08:11	7211/7211	---M-Z	200	added ('OK')	application/rss+xml	etag:%229662e6971e302bbbf7fea86aa1c155d9%22	https://www.train-motion.com/comments/feed/	D:/rgiov/website/TrainSimItalia/www.train-motion.com/comments/feed/index.html	(from https://www.train-motion.com/)
11:08:11	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	http://www.google-analytics.com/analytics.js	D:/rgiov/website/TrainSimItalia/www.google-analytics.com/analytics.js	(from https://www.train-motion.com/)
11:08:11	1591/1591	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20May%202019%2021:05:32%20GMT	https://www.train-motion.com/wp-content/plugins/cart-products-suggestions-for-woocommerce/css/frontend.css?ver=3.5	D:/rgiov/website/TrainSimItalia/www.train-motion.com/wp-content/plugins/cart-products-suggestions-for-woocommerce/css/frontend1bba.css	(from https://www.train-motion.com/)
11:08:11	573/573	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20May%202019%2021:05:32%20GMT	https://www.train-motion.com/wp-content/plugins/cart-products-suggestions-for-woocommerce/css/unslider.css?ver=5.3.4	D:/rgiov/website/TrainSimItalia/www.train-motion.com/wp-content/plugins/cart-products-suggestions-for-woocommerce/css/unslider03ec.css	(from https://www.train-motion.com/)
11:08:11	41045/41045	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2007:06:52%20GMT	https://www.train-motion.com/wp-includes/css/dist/block-library/style.min.css?ver=5.3.4	D:/rgiov/website/TrainSimItalia/www.train-motion.com/wp-includes/css/dist/block-library/style.min03ec.css	(from https://www.train-motion.com/)
11:08:11	14729/14729	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Sep%202019%2022:44:18%20GMT	https://www.train-motion.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.3.0	D:/rgiov/website/TrainSimItalia/www.train-motion.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylea1ec.css	(from https://www.train-motion.com/)
11:08:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Jul%202020%2009:08:11%20GMT	http://cdn.jsdelivr.net/alertifyjs/1.8.0/css/alertify.min.css?ver=1.5.3	D:/rgiov/website/TrainSimItalia/cdn.jsdelivr.net/alertifyjs/1.8.0/css/alertify.min.6e225.delayed	(from https://www.train-motion.com/)
11:08:12	18693/18693	---M-Z	200	added ('OK')	text/css	etag:W/%224905-zm4qxxSU72UCdgztOXWX+u1V2ks%22	https://cdn.jsdelivr.net/alertifyjs/1.8.0/css/alertify.min.css?ver=1.5.3	D:/rgiov/website/TrainSimItalia/cdn.jsdelivr.net/alertifyjs/1.8.0/css/alertify.mine225.css	(from https://www.train-motion.com/)
11:08:12	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Jul%202020%2009:08:11%20GMT	http://cdn.jsdelivr.net/alertifyjs/1.8.0/css/themes/default.min.css?ver=1.5.3	D:/rgiov/website/TrainSimItalia/cdn.jsdelivr.net/alertifyjs/1.8.0/css/themes/default.min.8e225.delayed	(from https://www.train-motion.com/)
11:08:12	1520/1520	---M-Z	200	added ('OK')	text/css	etag:W/%225f0-eNdamcE+BaIdzsYzXXLAKKeY2wo%22	https://cdn.jsdelivr.net/alertifyjs/1.8.0/css/themes/default.min.css?ver=1.5.3	D:/rgiov/website/TrainSimItalia/cdn.jsdelivr.net/alertifyjs/1.8.0/css/themes/default.mine225.css	(from https://www.train-motion.com/)
11:08:13	1685/1685	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Sep%202019%2000:30:25%20GMT	https://www.train-motion.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	D:/rgiov/website/TrainSimItalia/www.train-motion.com/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from https://www.train-motion.com/)
11:08:13	1726/1726	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20May%202019%2019:42:21%20GMT	https://www.train-motion.com/wp-content/plugins/download-now-for-woocommerce/assets/css/somdn-style.css?ver=5.3.4	D:/rgiov/website/TrainSimItalia/www.train-motion.com/wp-content/plugins/download-now-for-woocommerce/assets/css/somdn-style03ec.css	(from https://www.train-motion.com/)
